отзывы,разметка
"Зарядка быстрая и удобная, всего 30 минут и телефон почти на 50% заряжен.",1
"Качество экрана отличное, яркость регулируется плавно, можно настроить под любые условия.",1
"Очень доволен покупкой, телефон оправдал все мои ожидания.",1
"Очень неудобная клавиатура, плохо реагирует на нажатия.",0
"Экран слишком быстро царапается, нужно сразу покупать защитное стекло.",0
"Не поддерживает быстрые обновления, приходится долго ждать новых функций.",0
"Телефон долго грузится после перезагрузки, это раздражает.",0
"Программы часто вылетают, не всегда получается использовать телефон по назначению.",0
"Очень плохая связь, постоянно пропадает интернет и теряется сигнал сети.",0
Батарея быстро разряжается даже при минимальном использовании.,0
"Телефон слишком громоздкий и тяжелый, неудобно носить в кармане.",0
"Зарядка работает очень медленно, можно за несколько часов зарядить только на 40%.",0
После обновлений операционной системы телефон стал работать медленно и часто зависает.,0
"Никогда не ожидал, что телефон в такой ценовой категории будет так хорош.",1
"Отличная сборка, не люфтит, приятно держать в руке.",1
"Экран большой и четкий, смотреть фильмы и играть — одно удовольствие.",1
"Камера порадовала, фотки четкие даже при плохом освещении.",1
"Смартфон быстро справляется с любыми задачами, как повседневными, так и требующими больших мощностей.",1
"Простой в использовании, интуитивно понятный интерфейс, который не вызывает трудностей.",1
"Очень хорошее качество связи, ни разу не было проблем с разговором.",1
"Многозадачность работает отлично, я могу одновременно работать в нескольких приложениях.",1
"Мне нравится дизайн, он выглядит современно и стильно.",1
"Громкие и четкие динамики, звук можно регулировать под разные условия.",1
"Очень быстро залажал, при запуске любых приложений приходится ждать несколько секунд.",0
"Экран слишком тусклый, даже на максимальной яркости тяжело смотреть на солнце.",0
"В телефоне слишком много предустановленных приложений, которые невозможно удалить.",0
"После нескольких месяцев использования начал глючить, часто вылетают приложения.",0
"Видеозапись очень плохая, часто получается размытым, особенно при движении.",0
"Неудобная система управления, все функции приходится искать, интерфейс перегружен.",0
"Телефон не поддерживает все функции, которые я ожидал от современного смартфона.",0
"Камера иногда фокусируется слишком медленно, особенно в темных местах.",0
"Процессор слишком слаб для более тяжелых задач, игр на нем не поиграешь.",0
После последнего обновления телефон стал намного медленнее.,0
"Сенсор отпечатков пальцев работает с задержкой, приходится несколько раз прикладывать палец.",0
"Этот телефон стал идеальным помощником для работы, все приложения работают быстро.",1
"Телефон держит заряд очень долго, даже если я использую его весь день.",1
"Прекрасный экран, цвета яркие и насыщенные, качество картинки на высоте.",1
"Очень довольна этим телефоном, он всегда под рукой и работает стабильно.",1
"Прекрасный вариант для людей, которые ценят и удобство, и мощность.",1
"Телефон очень стильный, мне нравится его внешний вид, и он удобно лежит в руке.",1
"Работает быстро и стабильно, никаких зависаний или тормозов.",1
"Хорошо держит заряд, можно спокойно использовать весь день.",1
"Неудобное меню настроек, сложное и неинтуитивно понятное.",0
"Телефон сильно тормозит, особенно когда открываешь несколько приложений одновременно.",0
"Плохая камера, часто приходится делать несколько снимков, чтобы получить нормальный.",0
"Очень неудачный выбор материалов для корпуса, телефон легко царапается и теряет внешний вид.",0
"Не поддерживает некоторые популярные приложения, что сильно ограничивает его функциональность.",0
"Слишком много времени уходит на установку приложений, каждый раз приходится долго ждать.",0
"Зарядное устройство работает плохо, приходится несколько раз подсоединять кабель, чтобы зарядить.",0
"Из-за низкой производительности иногда зависает даже на простых задачах, таких как интернет-серфинг.",0
Сильно нагревается при использовании нескольких приложений одновременно.,0
"После нескольких недель использования не нашел ни одного недостатка, телефон работает идеально.",1
"Очень крутой телефон! Удобный, стильный и быстрый, для меня это лучший выбор.",1
"Смартфон заряжается за короткое время, и держит заряд на протяжении всего дня.",1
"Качество экрана превосходное, идеально подходит для просмотра фильмов и серфинга в интернете.",1
"Никаких проблем с операционной системой, все работает быстро и без сбоев.",1
"Смартфон не тормозит, работает стабильно даже при открытых нескольких приложений.",1
"Этот телефон просто чудо! Быстрый, с отличной камерой и хорошей автономностью.",1
"Батарея реально держит день даже при активном использовании, в отличие от других телефонов.",1
"Телефон идеален для работы и развлечений. Плавная работа всех приложений, никаких лагов.",1
"Очень доволен покупкой, экран яркий, картинка четкая, и даже на ярком солнце все видно.",1
"Отличная производительность. Все игры и приложения идут без тормозов, телефон не греется.",1
"Смартфон стал незаменимым помощником в повседневной жизни, работает быстро и стабильно.",1
"Очень понравилась камера, делает хорошие снимки даже в условиях низкой освещенности.",1
"Легкий, удобный, хороший аккумулятор — этим телефон точно не разочарует.",1
"Телефон отличный, нравится, что есть защита от воды и пыли, не боюсь использовать в любых условиях.",1
"Качество звука отличное, динамики громкие и чистые, удобно смотреть фильмы и слушать музыку.",1
"Камера ужасная, даже при хорошем освещении фотографии получаются размытыми.",0
"Телефон перегревается при использовании тяжелых приложений, приходится часто перезагружать.",0
После нескольких месяцев использования телефон стал зависать и тормозить.,0
"Очень долго заряжается, даже при использовании быстрой зарядки, это неудобно.",0
"Часто теряет сигнал, приходится перезагружать телефон, чтобы восстановить соединение.",0
"Качество связи не радует, собеседника плохо слышно, постоянно прерываются разговоры.",0
"Экран очень тусклый, даже при максимальной яркости его плохо видно на улице.",0
"Батарея садится слишком быстро, даже если не пользоваться телефоном активно.",0
"Телефон слишком громоздкий, неудобно носить в кармане или использовать одной рукой.",0
"Очень неудобно пользоваться без чехла, корпус быстро царапается и оставляет следы.",0
Отличный телефон с долгим временем работы от батареи. Заряд держится весь день без проблем.,1
"Простой интерфейс, все настройки легко найти, телефон очень удобен в использовании.",1
"Камера делает отличные снимки, а видео с хорошим качеством даже в движении.",1
"Дизайн телефона очень стильный и современный, смотрится дорого и качественно.",1
"Очень понравился экран, все изображения на нем выглядят ярко и четко.",1
"Производительность на высоте, все приложения работают быстро и без сбоев.",1
"Мне нравится плавность работы устройства, не замечал зависаний или тормозов.",1
"Телефон легко справляется с любыми задачами, включая игры и многозадачность.",1
"Телефон быстро заряжается и долго держит заряд, что удобно для активного пользователя.",1
"Очень слабая камера, фотографии получаются мутными и с плохим качеством даже в светлых помещениях.",0
"Экран постоянно мерцает, это делает использование телефона неприятным.",0
"Очень часто возникают проблемы с сетью и интернетом, даже в зоне хорошего покрытия.",0
"Телефон сильно нагревается, особенно при использовании требовательных приложений и игр.",0
"Телефон плохо работает с Bluetooth, устройства постоянно теряются и не подключаются.",0
"Нет поддержки старых приложений, многие из них просто не запускаются на этом телефоне.",0
"Телефон не поддерживает быструю зарядку, приходится долго ждать, пока зарядится полностью.",0
"Сенсорный экран работает с задержкой, не всегда точный и отзывчивый.",0
"Очень плохо работает GPS, навигация часто сбивается и теряет точность.",0
"Телефон часто зависает на экране загрузки, приходится перезагружать.",0
"Телефон быстро заряжается, и держит заряд намного дольше, чем другие устройства.",1
"Отличная камера с множеством настроек, дает четкие снимки при любом освещении.",1
"Мне нравится, что телефон хорошо работает даже с несколькими приложениями одновременно.",1
"Экран просто великолепен, картинки четкие, текст читаемый, даже на ярком солнечном свете.",1
"Покупал телефон ради камеры, и не разочарован: отличные снимки при любых условиях.",1
"Смартфон легкий, удобный в руке и без лишних наворотов, работает стабильно и быстро.",1
"Телефон очень быстрый, все работает гладко и без тормозов, даже при активном использовании.",1
"Не думал, что телефон за такую цену будет настолько хорош! Быстрая зарядка и хорошая производительность.",1
"Экран очень быстро царапается, даже если использовать его аккуратно.",0
"Зарядка телефона ужасно медленная, на полную зарядку уходит несколько часов.",0
"Телефон часто греется при активном использовании, ощущается неудобно в руке.",0
"Неудобный интерфейс, настройки сложно найти, много ненужных функций.",0
"Телефон нестабильный, часто зависает, особенно при многозадачности.",0
"Плохое качество звука, динамики тихие, даже на максимальной громкости их недостаточно.",0
"Часто случаются сбои в работе камеры, иногда приложение просто вылетает.",0
Не могу использовать телефон в морозы — он быстро выключается из-за низкой температуры.,0
"Процессор слишком слаб для современных игр, даже простые приложения лагают.",0
"Очень доволен телефоном, камера, производительность и экран — все на высшем уровне.",1
"Телефон работает быстро, не тормозит, все приложения открываются без проблем.",1
"Хороший дизайн, телефон очень удобен в руке, а экран отличного качества.",1
"Мне нравится, что телефон хорошо справляется с несколькими приложениями открытыми одновременно.",1
"Рекомендую всем, кто ищет хороший смартфон с мощной камерой и отличным экраном.",1
"Телефон быстро заряжается, и зарядки хватает на целый день при активном использовании.",1
"Очень красивый и стильный дизайн, телефон приятно держать в руках.",1
"Батарея садится слишком быстро, приходится заряжать несколько раз в день.",0
"Экран сильно искажает цвета, особенно если смотреть его под углом.",0
"Процессор тормозит, телефон не справляется с играми и многозадачностью.",0
"После обновления телефон стал работать гораздо медленнее, часто зависает.",0
"Качество связи оставляет желать лучшего, иногда плохо слышно собеседника.",0
"Неудобная клавиатура, часто ошибки при наборе текста, клавиши плохо откликаются.",0
"Телефон иногда самопроизвольно перезагружается, приходится искать решение проблемы.",0
"Не хватает поддержки старых стандартов связи, постоянно теряется сигнал в некоторых местах.",0
"Процессор не поддерживает все современные приложения, они просто не запускаются.",0
"Очень хороший телефон, работает быстро, камера — на уровне флагманов.",1
"Телефон имеет хорошее качество экрана, сочные цвета и отличную контрастность.",1
"Отличная камера, делаю кучу фото каждый день, все получаются четкими и качественными.",1
"Телефон быстро обновляется, и новая версия ОС всегда работает стабильно.",1
"Очень хороший телефон для работы и развлечений, все приложения запускаются мгновенно.",1
"Не греется при активном использовании, очень тихо работает, не отвлекает.",1
"Не работает NFC, постоянно возникают ошибки при попытке использовать эту функцию.",0
"Очень сложно настроить телефон, интерфейс не интуитивно понятен.",0
"Очень много приложений по умолчанию, которые невозможно удалить, это раздражает.",0
После нескольких месяцев использования телефон стал очень медленно реагировать на действия.,0
"Телефон часто теряет сеть, нужно постоянно перезагружать для восстановления соединения.",0
"Постоянно возникают проблемы с обновлениями, телефон не всегда загружает их автоматически.",0
"Сильно мерцает экран, это создает неприятные ощущения при длительном использовании.",0
"Телефон не поддерживает некоторые популярные приложения, которые мне нужны.",0
"Отличная камера, снимаю множество снимков, и каждый получается хорошим.",1
"Долгое время думал, но телефон оправдал все ожидания, быстр и надежен.",1
"Простой и удобный в использовании, без ненужных функций, работает быстро.",1
"Смартфон идеален для ежедневного использования, с ним легко управляться.",1
"Телефон выглядит стильно, собирает на себе все взгляды.",1
"Батарея действительно держит заряд долго, особенно если отключать лишние функции.",1
"Очень быстро изнашивается корпус, появляются трещины и сколы даже при аккуратном использовании.",0
"Постоянно нужно обновлять программы, иначе начинаются проблемы с производительностью.",0
"Телефон не всегда стабильно работает с Wi-Fi, часто теряет сигнал.",0
"Экран слишком жесткий, даже с защитным стеклом он не выдерживает падений.",0
"Неудобное расположение разъема для наушников, постоянно мешает при использовании.",0
"Не всегда работает автофокус на камере, иногда снимки получаются размытыми.",0
"Очень плохо работает с картами памяти, часто приходится перезагружать, чтобы распознал карту.",0
"Телефон постоянно зависает и перезагружается, вообще не рекомендую.", 0
"Камера ужасная, фото получаются размытыми, не оправдывает цену.", 0
"После месяца использования экран стал тускнеть, а чувствительность снизилась.", 0
"Батарея не держит заряд вообще, нужно заряжать дважды в день.", 0
"Системные лаги каждый день, невозможно нормально использовать.", 0
"Неудобное расположение кнопок, постоянно случайно нажимаю не то, что нужно.", 0
"Слишком много ненужных предустановленных приложений, которые нельзя удалить.", 0
"Экран треснул при легком падении, не рекомендую такой хрупкий телефон.", 0
"Программное обеспечение очень тормозит, постоянно выдает ошибки.", 0
"Дисплей слишком тусклый, даже при яркости на максимум не видно ничего на солнце.", 0
"Телефон перегревается даже при обычном использовании, это совсем не нормально.", 0
"Разъем для наушников сломался через месяц, качество сборки ужасное.", 0
"Плохая сборка, задняя крышка скрипит, ощущение, что телефон развалится.", 0
"Очень слабая громкость динамика, звонки плохо слышны даже в тихом помещении.", 0
"Не поддерживает нормальные обновления, систему не обновляли уже полгода.", 0
"Телефон вечно греется при использовании интернета или видеозвонков.", 0
"Слишком много рекламы в предустановленных приложениях, не можешь избавиться.", 0
"Очень слабая производительность, даже базовые приложения работают с задержками.", 0
"Телефон не поддерживает многие популярные приложения, которые можно установить на другие устройства.", 0
"Зарядка отказывается работать через несколько месяцев использования.", 0
"Меню настроек неудобное и запутанное, не могу разобраться в функциях.", 0
"Процессор слабый, игры не тянет, сильно тормозит.", 0
"Сильно скрипит корпус, когда держишь его в руках, ощущение, что сломается.", 0
"Отсутствие NFC – для меня это большой минус.", 0
"Очень низкое качество звука при разговоре, собеседников почти не слышно.", 0
"Неудобный размер, неудобно держать в руке, слишком большой.", 0
"Не поддерживает быструю зарядку, заряжается очень долго.", 0
"Проблемы с сетью, частые сбои в работе связи.", 0
"Плохая работа сканера отпечатков пальцев, часто не распознает.", 0
